SCHOOL,CLASS,CHILD,COMBI,SIZE,SSES,GIRL,MINORITY,SITTERS,CSES,IQV,IQP,PRE_LANG,POST_LANG,PRE_ARITH,POST_ARITH
18,1880,217,0,28,20,0,0,1,23,9.5,8.6660003662,24,22,3,8
18,1880,218,0,28,20,1,0,0,15,9.5,9.6660003662,30,27,9,11
18,1880,219,0,28,20,1,0,0,50,15,11.329999924,46,45,12,20
18,1880,220,0,28,20,1,0,0,27,11.5,10,36,45,13,11
18,1880,221,0,28,20,0,0,0,35,13,12.329999924,30,38,11,15
18,1880,222,0,28,20,0,0,0,33,10.5,11.659999847,30,24,7,6
18,1880,223,0,28,20,1,0,0,25,13,9.3330001831,41,50,13,16
18,1880,224,0,28,20,0,0,0,20,11,8.6660003662,26,22,10,8
18,1880,225,0,28,20,0,0,0,30,14,13.659999847,37,43,12,20
18,1880,226,0,28,20,0,0,0,28,13.5,12.659999847,38,28,12,16
18,1880,227,0,28,20,0,0,0,33,10.5,8,35,38,10,7
18,1880,228,0,28,20,0,0,0,25,9.5,8.3330001831,29,20,7,16
18,1880,229,0,28,20,0,0,0,33,15.5,11.329999924,39,40,9,11
18,1880,230,0,28,20,0,0,0,50,12,16.329999924,41,47,14,20
18,1880,231,0,28,20,0,0,0,15,11,11.659999847,29,20,9,6
18,1880,232,0,28,20,1,0,0,25,11,10.659999847,32,28,6,6
18,1880,233,0,28,20,0,0,0,50,13,10.329999924,38,33,12,14
18,1880,234,0,28,20,0,0,0,30,11.5,9,16,21,7,7
18,1880,235,0,28,20,1,0,0,38,12.5,11,41,44,16,26
18,1880,236,0,28,20,0,0,0,20,12,12.329999924,33,43,9,15
18,1880,237,0,28,20,0,0,0,35,10,11.659999847,29,18,11,6
18,1880,238,0,28,20,1,0,0,50,10.5,10.329999924,41,31,11,19
18,1880,239,0,28,20,1,0,0,35,11.5,7,29,21,8,11
18,1880,240,0,28,20,0,0,0,35,11,12.329999924,34,41,8,15
19,1980,241,0,34,,0,0,0,45,9,9,31,33,4,9
19,1980,242,0,34,,1,0,0,20,9,9,29,30,5,10
19,1980,243,0,34,,0,0,0,41,11,8.6666666667,20,30,9,12
19,1980,244,0,34,,0,0,1,20,12,11,36,37,9,12
19,1980,245,0,34,,1,0,0,17,10,9.6666666667,34,37,9,13
19,1980,246,0,34,,1,0,1,34,10,11.333333333,31,35,9,15
19,1980,247,0,34,,0,0,0,17,13,8.6666666667,37,43,9,18
19,1980,248,0,34,,1,0,0,31,11.5,12.333333333,37,36,10,18
19,1980,249,0,34,,1,0,0,37,12,13.666666667,34,41,10,21
19,1980,250,0,34,,1,0,0,39,12,11,34,32,11,22
19,1980,251,0,34,,0,0,1,32,11.5,10.666666667,24,11,12,8
19,1980,252,0,34,,1,0,0,45,10,13.666666667,37,34,12,15
19,1980,253,0,34,,0,0,0,32,12.5,9.6666666667,32,35,12,19
19,1980,254,0,34,,1,0,0,27,11,11.333333333,35,40,12,19
19,1980,255,0,34,,1,0,1,26,11.5,10,28,29,13,9
19,1980,256,0,34,,1,0,0,30,12.5,10,27,30,13,10
19,1980,257,0,34,,1,0,0,40,11,13.666666667,28,42,13,18
19,1980,258,0,34,,0,0,0,30,16.5,14,42,40,13,26
19,1980,259,0,34,,1,0,0,24,11,11,29,32,14,16
19,1980,260,0,34,,0,0,0,45,14,12.333333333,,41,14,19
19,1980,261,0,34,,0,0,1,36,11,12.333333333,39,40,14,21
19,1980,262,0,34,,0,0,2,49,15.5,12.333333333,38,45,15,22
19,1980,263,0,34,,1,0,0,32,12.5,11.333333333,42,44,15,22
19,1980,264,0,34,,0,1,1,47,12,11.666666667,30,35,15,23
19,1980,265,0,34,,0,0,0,37,12.5,11.333333333,32,44,15,23
19,1980,266,0,34,,0,0,1,45,14,14,38,47,15,23
19,1980,267,0,34,,0,0,0,28,11.5,12,39,45,16,15
19,1980,268,0,34,,0,0,0,30,14,14.666666667,39,41,16,20
19,1980,269,0,34,,1,0,0,41,,13,40,49,16,28
19,1980,270,0,34,,1,0,0,41,12,13.666666667,39,49,17,24
19,1980,271,0,34,,0,0,0,28,,13,36,55,17,28
19,1980,272,0,34,,0,0,1,38,14,12.333333333,38,51,18,22
19,1980,273,0,34,,0,0,0,32,14,11.333333333,46,51,18,25
21,2180,274,0,19,15,0,0,0,22,12,11,41,44,10,
21,2180,275,0,19,15,0,0,0,20,14.5,13.329999924,34,48,16,30
21,2180,276,0,19,15,1,0,0,18,13,11,38,43,11,12
21,2180,277,0,19,15,0,0,1,18,8.5,13.329999924,27,32,9,14
21,2180,278,0,19,15,0,0,0,20,11.5,11.329999924,31,17,10,10
21,2180,279,0,19,15,0,0,0,20,8.5,9.6660003662,15,27,4,14
21,2180,280,0,19,15,0,0,0,28,13,9,45,55,13,17
21,2180,281,0,19,15,1,0,0,28,12.5,10,43,45,9,14
21,2180,282,0,19,15,1,0,0,18,13.5,8.6660003662,34,36,9,12
21,2180,283,0,19,15,0,0,1,18,8,9.6660003662,25,24,10,6
21,2180,284,0,19,15,1,0,1,18,9,10.659999847,30,35,9,11
21,2180,285,0,19,15,0,0,0,23,11.5,11.659999847,39,43,12,16
21,2180,286,0,19,15,1,0,0,23,13,11.659999847,38,48,15,18
21,2180,287,0,19,15,1,0,0,23,14.5,11,41,38,11,11
21,2180,288,0,19,15,0,0,0,20,12,11.659999847,38,44,11,19
21,2180,289,0,19,15,0,0,0,18,12,12.659999847,44,47,15,27
21,2180,290,0,19,15,0,0,0,23,13.5,14,38,36,11,23
21,2180,291,0,19,15,1,0,0,25,11.5,11.329999924,31,41,10,19
23,2380,292,0,24,18,0,0,0,28,12,10.666666667,30,36,7,18
23,2380,293,0,24,18,1,0,0,22,12,9.6666666667,35,44,8,19
23,2380,294,0,24,18,1,0,0,17,9.5,10.666666667,22,28,9,23
23,2380,295,0,24,18,0,0,0,28,13.5,11.666666667,27,42,11,22
23,2380,296,0,24,18,1,0,0,,13.5,14.333333333,42,37,11,26
23,2380,297,0,24,18,0,0,0,17,11.5,12.333333333,39,44,12,25
23,2380,298,0,24,18,1,0,0,21,12,10.666666667,27,46,12,26
23,2380,299,0,24,18,1,0,0,21,9.5,7.6666666667,25,24,13,10
23,2380,300,0,24,18,1,0,0,17,13,9,35,45,13,17
23,2380,301,0,24,18,0,0,0,17,9,13,31,35,13,19
23,2380,302,0,24,18,0,0,0,26,11.5,11.333333333,31,37,13,19
23,2380,303,0,24,18,1,0,0,15,14.5,10,41,49,13,19
23,2380,304,0,24,18,1,0,0,17,13,10,37,49,14,25
23,2380,305,0,24,18,0,0,0,26,12.5,16,45,48,14,26
23,2380,306,0,24,18,1,0,0,28,12.5,14,39,40,14,27
23,2380,307,0,24,18,1,0,0,26,10,10.666666667,28,33,15,15
23,2380,308,0,24,18,1,0,0,17,13,11.333333333,38,45,15,24
23,2380,309,0,24,18,1,0,0,17,11,11.333333333,28,43,16,19
23,2380,310,0,24,18,1,0,0,17,13,12.333333333,41,51,16,27
23,2380,311,0,24,18,1,0,0,26,13,11.666666667,30,48,17,26
23,2380,312,0,24,18,1,0,0,19,12,12.666666667,32,42,17,29
23,2380,313,0,24,18,1,0,0,28,10,12.333333333,36,52,17,29
23,2380,314,0,24,18,1,0,0,17,13.5,13,38,54,18,26
24,2480,315,0,35,16,0,0,0,20,12,14.666666667,31,,15,
24,2480,316,0,35,16,0,0,1,23,12,11.659999847,43,41,18,26
24,2480,317,0,35,16,1,0,0,20,10,11.329999924,23,26,9,13
24,2480,318,0,35,16,1,0,0,20,14,9.3330001831,47,52,13,16
24,2480,319,0,35,16,0,0,0,10,12.5,9.3330001831,34,43,15,28
24,2480,320,0,35,16,0,0,0,20,13,13,43,54,20,29
24,2480,321,0,35,16,1,0,0,30,11.5,7.6659998894,33,49,14,29
24,2480,322,0,35,16,0,0,0,20,15.5,12.329999924,41,51,16,29
24,2480,323,0,35,16,0,0,0,23,13.5,12.659999847,37,47,17,29
24,2480,324,0,35,16,1,0,0,17,12,11,43,51,14,22
24,2480,325,0,35,16,1,0,0,23,12,11.659999847,37,51,15,27
24,2480,326,0,35,16,1,0,0,20,8.5,11.329999924,31,34,9,19
24,2480,327,0,35,16,1,0,0,23,10.5,12,40,51,16,28
24,2480,328,0,35,16,1,0,0,23,10,10,33,49,13,26
24,2480,329,0,35,16,1,0,0,37,9,8.6660003662,26,42,15,18
24,2480,330,0,35,16,1,0,0,17,13,5.3330001831,40,50,12,23
24,2480,331,0,35,16,1,0,0,17,6.5,9.3330001831,29,33,10,21
24,2480,332,0,35,16,1,0,0,33,13.5,9.6660003662,38,46,11,23
24,2480,333,0,35,16,0,0,0,20,16.5,10.329999924,44,57,15,28
24,2480,334,0,35,16,0,0,0,30,10.5,12.329999924,33,35,14,27
24,2480,335,0,35,16,0,0,0,27,13.5,9.6660003662,29,44,17,23
24,2480,336,0,35,16,0,0,0,23,12,13,33,36,11,25
24,2480,337,0,35,16,0,0,0,23,12.5,14.329999924,44,50,15,29
24,2480,338,0,35,16,1,0,0,27,13,12.659999847,33,38,11,20
24,2480,339,0,35,16,1,0,0,27,12,9.3330001831,31,49,14,26
25,2580,340,1,20,,1,0,0,26,11.5,8.3333333333,28,32,1,15
25,2580,341,1,20,,,0,1,25,9,11.333333333,25,32,9,13
25,2580,342,1,20,,1,0,1,17,8,9,23,33,9,14
25,2580,343,1,20,,0,0,0,17,13,11,39,48,9,21
25,2580,344,1,20,,1,0,1,20,8,11,27,34,10,15
25,2580,345,1,20,,0,0,1,20,10,13.333333333,22,37,11,21
25,2580,346,1,20,,0,0,0,23,8.5,11.666666667,27,37,11,21
25,2580,347,1,20,,1,0,1,17,10,6.6666666667,28,40,12,13
25,2580,348,1,20,,1,0,0,43,11,10,34,41,12,17
25,2580,349,1,20,,0,0,1,20,11.5,9.6666666667,36,40,13,20
25,2580,350,1,20,,0,0,0,47,13,12.333333333,38,43,13,23
25,2580,351,1,20,,1,0,0,20,12,10.333333333,36,45,14,26
25,2580,352,1,20,,1,0,0,26,12.5,12.333333333,40,44,14,27
26,2680,353,0,21,19,0,0,0,37,13.5,13.666666667,,39,,12
26,2680,354,0,21,19,0,0,1,20,10.5,9,27,26,10,13
26,2680,355,0,21,19,0,0,0,35,12,12.329999924,37,48,15,25
26,2680,356,0,21,19,0,0,0,40,12.5,11.659999847,32,32,8,18
26,2680,357,0,21,19,0,0,0,33,13,15,40,46,19,27
26,2680,358,0,21,19,0,0,1,30,10,9,33,38,10,13
26,2680,359,0,21,19,0,0,0,33,11,9.6660003662,26,44,13,27
26,2680,360,0,21,19,0,0,0,17,11,13,35,35,9,12
26,2680,361,0,21,19,0,0,0,23,16.5,7.3330001831,37,40,11,17
26,2680,362,0,21,19,0,0,0,37,13,11.659999847,44,40,18,23
26,2680,363,0,21,19,0,0,0,20,11.5,12,37,46,18,25
26,2680,364,0,21,19,1,0,0,20,10,9.6660003662,37,31,6,13
26,2680,365,0,21,19,1,0,0,45,13.5,7.3330001831,40,50,11,16
26,2680,366,0,21,19,1,0,0,40,13.5,14,41,46,12,26
26,2680,367,0,21,19,1,0,0,43,16.5,13.659999847,37,51,12,21
26,2680,368,0,21,19,1,0,0,28,9,9.3330001831,23,29,9,12
26,2680,369,0,21,19,1,0,0,33,12,8,36,39,13,9
26,2680,370,0,21,19,1,0,0,35,13.5,9.3330001831,39,49,11,23
26,2680,371,0,21,19,1,0,0,47,14,12,43,43,15,17
27,2780,372,1,32,17,0,0,0,,9.5,13,36,34,14,18
27,2780,373,1,32,17,1,0,0,,15.5,14,49,52,16,21
27,2780,374,1,32,17,1,0,0,23,10,8.6660003662,34,37,8,12
27,2780,375,1,32,17,0,0,0,23,10.5,10.329999924,30,35,8,14
27,2780,376,1,32,17,0,0,0,28,13,10.659999847,35,38,14,21
27,2780,377,1,32,17,1,0,0,23,13,12,35,40,13,14
27,2780,378,1,32,17,0,0,0,47,14,11.659999847,37,42,11,19
27,2780,379,1,32,17,0,0,0,40,14.5,8.6660003662,33,41,8,12
27,2780,380,1,32,17,0,0,1,40,12,7.3330001831,30,32,9,5
27,2780,381,1,32,17,0,0,0,27,12.5,11.329999924,36,40,15,24
27,2780,382,1,32,17,0,0,0,23,10.5,9.6660003662,19,20,7,6
27,2780,383,1,32,17,1,0,0,27,11,9.3330001831,37,29,10,18
27,2780,384,1,32,17,0,0,0,40,12.5,13.659999847,33,41,13,17
27,2780,385,1,32,17,0,0,0,30,13,10,30,23,6,13
27,2780,386,1,32,17,1,0,1,23,11.5,9.3330001831,19,27,8,9
27,2780,387,1,32,17,1,0,0,27,9.5,8.6660003662,27,35,5,12
27,2780,388,1,32,17,0,0,0,35,11.5,8.3330001831,29,33,15,13
27,2780,389,1,32,17,1,0,0,23,9.5,10.659999847,20,31,9,13
27,2780,390,1,32,17,0,0,0,40,12,8,30,29,8,10
27,2780,391,1,32,17,1,0,0,20,10,8,25,31,6,6
27,2780,392,1,32,17,0,0,0,20,12,9.3330001831,32,40,10,13
27,2780,393,1,32,17,1,0,0,20,6.5,7,27,19,8,6
27,2780,394,1,32,17,1,0,0,35,11,8.3330001831,35,40,12,8
28,2880,395,0,21,16,1,0,0,17,13,9.3333333333,38,46,3,12
28,2880,396,0,21,16,1,0,0,25,9.5,5,22,36,6,7
28,2880,397,0,21,16,0,0,0,25,8.5,9.6666666667,27,33,6,8
28,2880,398,0,21,16,1,0,0,25,10.5,8,30,37,7,5
28,2880,399,0,21,16,1,0,0,21,12,9.3333333333,36,42,7,6
28,2880,400,0,21,16,1,0,0,19,7.5,6,21,27,8,6
28,2880,401,0,21,16,0,0,0,17,9.5,11.333333333,29,37,8,13
28,2880,402,0,21,16,0,0,0,15,7,6.3333333333,17,,9,
28,2880,403,0,21,16,0,0,0,17,12.5,7,24,,9,
28,2880,404,0,21,16,1,0,0,19,10,9.6666666667,26,34,9,6
